worker_id,timestamp,status,confidence
W083,2026-03-18 07:01:37,Present,0.92
W025,2026-03-18 07:07:08,Present,0.98
W100,2026-03-18 07:07:11,Present,0.96
W097,2026-03-18 07:09:46,Present,0.87
W029,2026-03-18 07:11:16,Present,0.87
W075,2026-03-18 07:11:37,Present,0.9
W050,2026-03-18 07:15:25,Present,0.88
W014,2026-03-18 07:16:41,Present,0.86
W054,2026-03-18 07:17:55,Present,0.86
W006,2026-03-18 07:23:09,Present,0.93
W028,2026-03-18 07:23:22,Present,0.95
W070,2026-03-18 07:23:32,Present,0.96
W072,2026-03-18 07:25:29,Present,0.91
W035,2026-03-18 07:28:48,Present,0.97
W013,2026-03-18 07:34:10,Present,0.88
W055,2026-03-18 07:34:49,Present,0.88
W074,2026-03-18 07:35:26,Present,0.98
W021,2026-03-18 07:36:05,Present,0.97
W091,2026-03-18 07:47:17,Present,0.91
W080,2026-03-18 07:51:41,Present,0.93
W056,2026-03-18 07:56:30,Present,0.97
W026,2026-03-18 07:56:37,Present,0.97
W036,2026-03-18 07:57:43,Present,0.91
W018,2026-03-18 07:59:35,Present,0.98
W042,2026-03-18 08:01:09,Present,0.94
W031,2026-03-18 08:03:05,Present,0.97
W095,2026-03-18 08:04:51,Present,0.91
W007,2026-03-18 08:04:57,Present,0.96
W038,2026-03-18 08:06:08,Present,0.99
W076,2026-03-18 08:06:23,Present,0.87
W037,2026-03-18 08:10:18,Present,0.87
W005,2026-03-18 08:10:31,Present,0.89
W087,2026-03-18 08:11:22,Present,0.87
W063,2026-03-18 08:14:03,Present,0.92
W067,2026-03-18 08:14:31,Present,0.89
W084,2026-03-18 08:16:35,Present,0.86
W079,2026-03-18 08:17:49,Present,0.92
W004,2026-03-18 08:20:48,Present,0.89
W058,2026-03-18 08:21:08,Present,0.9
W019,2026-03-18 08:24:39,Present,0.96
W082,2026-03-18 08:27:57,Present,0.91
W059,2026-03-18 08:31:20,Present,0.91
W044,2026-03-18 08:34:19,Present,0.95
W071,2026-03-18 08:44:34,Present,0.88
W001,2026-03-18 08:45:17,Present,0.98
W093,2026-03-18 08:48:24,Present,0.87
W098,2026-03-18 08:49:37,Present,0.94
W066,2026-03-18 08:53:19,Present,0.97
W020,2026-03-18 08:54:58,Present,0.99
W062,2026-03-18 08:57:41,Present,0.95
W077,2026-03-18 08:59:25,Present,0.87
W051,2026-03-18 08:59:29,Present,0.86
W039,2026-03-18 09:05:51,Present,0.86
W016,2026-03-18 09:08:29,Present,0.92
W073,2026-03-18 09:09:26,Present,0.98
W057,2026-03-18 09:11:10,Present,0.92
W060,2026-03-18 09:15:26,Present,0.89
W030,2026-03-18 09:15:39,Present,0.98
W092,2026-03-18 09:16:15,Present,0.98
W010,2026-03-18 09:17:57,Present,0.9
W053,2026-03-18 09:18:52,Present,0.85
W034,2026-03-18 09:19:54,Present,0.92
W017,2026-03-18 09:21:16,Present,0.91
W061,2026-03-18 09:22:15,Present,0.93
W023,2026-03-18 09:22:22,Present,0.91
W094,2026-03-18 09:27:06,Present,0.96
W003,2026-03-18 09:27:54,Present,0.93
W011,2026-03-18 09:28:38,Present,0.94
W047,2026-03-18 09:29:44,Present,0.9
W085,2026-03-18 09:29:45,Present,0.92
W033,2026-03-18 09:32:11,Present,0.9
W032,2026-03-18 09:32:45,Present,0.98
W096,2026-03-18 09:34:54,Present,0.93
W089,2026-03-18 09:35:51,Present,0.96
W040,2026-03-18 09:36:00,Present,0.96
W099,2026-03-18 09:36:58,Present,0.98
W012,2026-03-18 09:37:07,Present,0.91
W027,2026-03-18 09:37:24,Present,0.87
W045,2026-03-18 09:39:44,Present,0.97
W088,2026-03-18 09:41:42,Present,0.9
W048,2026-03-18 09:43:33,Present,0.96
W078,2026-03-18 09:43:36,Present,0.92
W068,2026-03-18 09:49:27,Present,0.95
W024,2026-03-18 09:49:52,Present,0.96
W086,2026-03-18 09:51:11,Present,0.87
W049,2026-03-18 09:51:41,Present,0.88
W022,2026-03-18 09:53:53,Present,0.91
W090,2026-03-18 09:57:31,Present,0.89
W059,2026-03-19 07:04:11,Present,0.9
W076,2026-03-19 07:10:07,Present,0.88
W012,2026-03-19 07:12:21,Present,0.89
W003,2026-03-19 07:16:06,Present,0.96
W026,2026-03-19 07:16:51,Present,0.85
W051,2026-03-19 07:20:55,Present,0.89
W084,2026-03-19 07:22:12,Present,0.91
W090,2026-03-19 07:23:00,Present,0.86
W097,2026-03-19 07:23:22,Present,0.95
W027,2026-03-19 07:23:44,Present,0.98
W005,2026-03-19 07:25:11,Present,0.95
W038,2026-03-19 07:26:24,Present,0.9
W087,2026-03-19 07:26:50,Present,0.95
W043,2026-03-19 07:28:48,Present,0.88
W079,2026-03-19 07:29:49,Present,0.95
W080,2026-03-19 07:31:06,Present,0.9
W014,2026-03-19 07:38:15,Present,0.97
W092,2026-03-19 07:39:58,Present,0.87
W002,2026-03-19 07:42:53,Present,0.9
W093,2026-03-19 07:43:18,Present,0.89
W039,2026-03-19 07:45:11,Present,0.89
W073,2026-03-19 07:48:28,Present,0.95
W068,2026-03-19 07:50:57,Present,0.87
W095,2026-03-19 07:55:01,Present,0.93
W020,2026-03-19 07:55:34,Present,0.92
W072,2026-03-19 07:56:48,Present,0.96
W030,2026-03-19 07:57:59,Present,0.94
W050,2026-03-19 07:58:02,Present,0.99
W066,2026-03-19 08:02:42,Present,0.9
W032,2026-03-19 08:03:32,Present,0.96
W074,2026-03-19 08:06:35,Present,0.92
W077,2026-03-19 08:06:45,Present,0.87
W025,2026-03-19 08:10:12,Present,0.96
W055,2026-03-19 08:10:58,Present,0.94
W054,2026-03-19 08:18:40,Present,0.93
W058,2026-03-19 08:23:56,Present,0.9
W085,2026-03-19 08:24:24,Present,0.87
