date,product_type,demand
2023-01-01,Bag,91
2023-01-01,Belt,113
2023-01-01,Custom,138
2023-01-01,Jacket Leather,170
2023-01-01,Shoe Leather,169
2023-01-01,Wallet,122
2023-01-02,Bag,97
2023-01-02,Belt,132
2023-01-02,Custom,136
2023-01-02,Jacket Leather,183
2023-01-02,Shoe Leather,176
2023-01-02,Wallet,124
2023-01-03,Bag,101
2023-01-03,Belt,136
2023-01-03,Custom,151
2023-01-03,Jacket Leather,186
2023-01-03,Shoe Leather,168
2023-01-03,Wallet,130
2023-01-04,Bag,102
2023-01-04,Belt,147
2023-01-04,Custom,183
2023-01-04,Jacket Leather,187
2023-01-04,Shoe Leather,188
2023-01-04,Wallet,140
2023-01-05,Bag,114
2023-01-05,Belt,135
2023-01-05,Custom,160
2023-01-05,Jacket Leather,202
2023-01-05,Shoe Leather,182
2023-01-05,Wallet,133
2023-01-06,Bag,108
2023-01-06,Belt,138
2023-01-06,Custom,156
2023-01-06,Jacket Leather,207
2023-01-06,Shoe Leather,193
2023-01-06,Wallet,138
2023-01-07,Bag,121
2023-01-07,Belt,140
2023-01-07,Custom,170
2023-01-07,Jacket Leather,200
2023-01-07,Shoe Leather,183
2023-01-07,Wallet,157
2023-01-08,Bag,119
2023-01-08,Belt,137
2023-01-08,Custom,167
2023-01-08,Jacket Leather,215
2023-01-08,Shoe Leather,200
2023-01-08,Wallet,143
2023-01-09,Bag,118
2023-01-09,Belt,121
2023-01-09,Custom,167
2023-01-09,Jacket Leather,189
2023-01-09,Shoe Leather,191
2023-01-09,Wallet,142
2023-01-10,Bag,110
2023-01-10,Belt,156
2023-01-10,Custom,168
2023-01-10,Jacket Leather,198
2023-01-10,Shoe Leather,208
2023-01-10,Wallet,144
2023-01-11,Bag,112
2023-01-11,Belt,153
2023-01-11,Custom,181
2023-01-11,Jacket Leather,192
2023-01-11,Shoe Leather,181
2023-01-11,Wallet,140
2023-01-12,Bag,124
2023-01-12,Belt,127
2023-01-12,Custom,147
2023-01-12,Jacket Leather,178
2023-01-12,Shoe Leather,185
2023-01-12,Wallet,132
2023-01-13,Bag,118
2023-01-13,Belt,136
2023-01-13,Custom,160
2023-01-13,Jacket Leather,193
2023-01-13,Shoe Leather,170
2023-01-13,Wallet,127
2023-01-14,Bag,100
2023-01-14,Belt,129
2023-01-14,Custom,143
2023-01-14,Jacket Leather,189
2023-01-14,Shoe Leather,171
2023-01-14,Wallet,126
2023-01-15,Bag,107
2023-01-15,Belt,126
2023-01-15,Custom,154
2023-01-15,Jacket Leather,202
2023-01-15,Shoe Leather,179
2023-01-15,Wallet,138
2023-01-16,Bag,110
2023-01-16,Belt,108
2023-01-16,Custom,135
2023-01-16,Jacket Leather,189
2023-01-16,Shoe Leather,180
2023-01-16,Wallet,120
2023-01-17,Bag,82
2023-01-17,Belt,119
2023-01-17,Custom,137
2023-01-17,Jacket Leather,169
2023-01-17,Shoe Leather,195
2023-01-17,Wallet,120
2023-01-18,Bag,100
2023-01-18,Belt,127
2023-01-18,Custom,134
2023-01-18,Jacket Leather,194
2023-01-18,Shoe Leather,161
2023-01-18,Wallet,125
2023-01-19,Bag,85
2023-01-19,Belt,144
2023-01-19,Custom,144
2023-01-19,Jacket Leather,184
2023-01-19,Shoe Leather,149
2023-01-19,Wallet,112
2023-01-20,Bag,94
2023-01-20,Belt,119
2023-01-20,Custom,140
2023-01-20,Jacket Leather,175
2023-01-20,Shoe Leather,163
2023-01-20,Wallet,119
2023-01-21,Bag,79
2023-01-21,Belt,114
2023-01-21,Custom,116
2023-01-21,Jacket Leather,165
2023-01-21,Shoe Leather,142
2023-01-21,Wallet,95
2023-01-22,Bag,67
2023-01-22,Belt,107
2023-01-22,Custom,128
2023-01-22,Jacket Leather,156
2023-01-22,Shoe Leather,158
2023-01-22,Wallet,107
2023-01-23,Bag,68
2023-01-23,Belt,105
2023-01-23,Custom,120
2023-01-23,Jacket Leather,162
2023-01-23,Shoe Leather,146
2023-01-23,Wallet,109
2023-01-24,Bag,85
2023-01-24,Belt,121
2023-01-24,Custom,115
2023-01-24,Jacket Leather,176
2023-01-24,Shoe Leather,154
2023-01-24,Wallet,109
2023-01-25,Bag,89
2023-01-25,Belt,116
2023-01-25,Custom,126
2023-01-25,Jacket Leather,186
2023-01-25,Shoe Leather,164
2023-01-25,Wallet,93
2023-01-26,Bag,79
2023-01-26,Belt,108
2023-01-26,Custom,127
2023-01-26,Jacket Leather,184
2023-01-26,Shoe Leather,154
2023-01-26,Wallet,124
2023-01-27,Bag,97
2023-01-27,Belt,107
2023-01-27,Custom,157
2023-01-27,Jacket Leather,167
2023-01-27,Shoe Leather,167
2023-01-27,Wallet,106
2023-01-28,Bag,78
2023-01-28,Belt,119
2023-01-28,Custom,141
2023-01-28,Jacket Leather,164
2023-01-28,Shoe Leather,170
2023-01-28,Wallet,121
2023-01-29,Bag,97
2023-01-29,Belt,119
2023-01-29,Custom,127
2023-01-29,Jacket Leather,180
2023-01-29,Shoe Leather,146
2023-01-29,Wallet,122
2023-01-30,Bag,90
2023-01-30,Belt,129
2023-01-30,Custom,139
2023-01-30,Jacket Leather,165
2023-01-30,Shoe Leather,160
2023-01-30,Wallet,136
2023-01-31,Bag,100
2023-01-31,Belt,131
2023-01-31,Custom,159
2023-01-31,Jacket Leather,191
2023-01-31,Shoe Leather,158
2023-01-31,Wallet,152
2023-02-01,Bag,112
2023-02-01,Belt,142
2023-02-01,Custom,175
2023-02-01,Jacket Leather,191
2023-02-01,Shoe Leather,198
2023-02-01,Wallet,122
2023-02-02,Bag,107
2023-02-02,Belt,130
2023-02-02,Custom,142
2023-02-02,Jacket Leather,192
2023-02-02,Shoe Leather,181
2023-02-02,Wallet,133
2023-02-03,Bag,116
2023-02-03,Belt,157
2023-02-03,Custom,143
2023-02-03,Jacket Leather,184
2023-02-03,Shoe Leather,204
2023-02-03,Wallet,145
2023-02-04,Bag,133
2023-02-04,Belt,177
2023-02-04,Custom,184
2023-02-04,Jacket Leather,209
2023-02-04,Shoe Leather,173
2023-02-04,Wallet,135
2023-02-05,Bag,120
2023-02-05,Belt,164
2023-02-05,Custom,172
2023-02-05,Jacket Leather,201
2023-02-05,Shoe Leather,187
2023-02-05,Wallet,157
2023-02-06,Bag,136
2023-02-06,Belt,156
2023-02-06,Custom,161
2023-02-06,Jacket Leather,197
2023-02-06,Shoe Leather,202
2023-02-06,Wallet,160
2023-02-07,Bag,118
2023-02-07,Belt,164
2023-02-07,Custom,177
2023-02-07,Jacket Leather,181
2023-02-07,Shoe Leather,197
2023-02-07,Wallet,158
2023-02-08,Bag,134
2023-02-08,Belt,146
2023-02-08,Custom,145
2023-02-08,Jacket Leather,210
2023-02-08,Shoe Leather,201
2023-02-08,Wallet,155
2023-02-09,Bag,143
2023-02-09,Belt,139
2023-02-09,Custom,171
2023-02-09,Jacket Leather,227
2023-02-09,Shoe Leather,183
2023-02-09,Wallet,166
2023-02-10,Bag,102
2023-02-10,Belt,162
2023-02-10,Custom,173
2023-02-10,Jacket Leather,224
2023-02-10,Shoe Leather,208
2023-02-10,Wallet,139
2023-02-11,Bag,117
2023-02-11,Belt,146
2023-02-11,Custom,177
2023-02-11,Jacket Leather,201
2023-02-11,Shoe Leather,200
2023-02-11,Wallet,149
2023-02-12,Bag,128
2023-02-12,Belt,135
2023-02-12,Custom,154
2023-02-12,Jacket Leather,197
2023-02-12,Shoe Leather,193
2023-02-12,Wallet,138
2023-02-13,Bag,117
2023-02-13,Belt,137
2023-02-13,Custom,162
2023-02-13,Jacket Leather,204
2023-02-13,Shoe Leather,179
2023-02-13,Wallet,151
2023-02-14,Bag,119
2023-02-14,Belt,131
2023-02-14,Custom,148
2023-02-14,Jacket Leather,186
