date,order_id,leather_type,grade,quantity,due_days
2026-01-01,O1860,Sheep,C,171,5
2026-01-01,O6734,Goat,C,314,8
2026-01-01,O9322,Goat,A,869,8
2026-01-01,O7949,Goat,A,260,6
2026-01-01,O7396,Cow,A,574,3
2026-01-01,O2899,Sheep,A,230,5
2026-01-01,O4890,Sheep,A,940,7
2026-01-01,O6393,Cow,B,341,9
2026-01-01,O8513,Cow,B,439,7
2026-01-01,O1775,Sheep,C,305,1
2026-01-01,O2585,Goat,B,489,6
2026-01-02,O4843,Goat,A,802,2
2026-01-02,O7873,Goat,B,369,8
2026-01-02,O8629,Sheep,A,801,8
2026-01-02,O8892,Cow,B,978,5
2026-01-02,O5887,Goat,A,863,9
2026-01-02,O6276,Sheep,A,164,9
2026-01-02,O9006,Cow,A,747,8
2026-01-02,O6258,Sheep,A,491,3
2026-01-02,O6892,Goat,C,140,7
2026-01-02,O9392,Goat,A,147,7
2026-01-02,O3454,Goat,A,198,8
2026-01-02,O9154,Sheep,A,838,5
2026-01-02,O9110,Goat,C,868,5
2026-01-02,O8385,Sheep,C,497,7
2026-01-03,O1206,Sheep,B,653,3
2026-01-03,O1863,Sheep,A,663,4
2026-01-03,O2757,Cow,C,330,4
2026-01-03,O7668,Sheep,C,342,6
2026-01-03,O6915,Goat,B,656,9
2026-01-03,O3693,Goat,B,430,7
2026-01-03,O6592,Sheep,B,324,1
2026-01-03,O2306,Goat,A,727,9
2026-01-03,O8526,Goat,C,748,5
2026-01-03,O1663,Sheep,C,473,8
2026-01-03,O4304,Cow,B,596,4
2026-01-03,O2291,Goat,C,485,3
2026-01-03,O8280,Cow,A,180,1
2026-01-04,O5737,Goat,C,835,1
2026-01-04,O7528,Sheep,B,229,5
2026-01-04,O2707,Goat,B,515,7
2026-01-04,O5931,Sheep,C,283,1
2026-01-04,O9958,Goat,A,983,2
2026-01-04,O1197,Goat,C,610,1
2026-01-05,O5282,Goat,A,870,4
2026-01-05,O3811,Sheep,C,445,3
2026-01-05,O9338,Sheep,A,739,7
2026-01-05,O3385,Cow,C,572,2
2026-01-05,O6534,Goat,B,710,7
2026-01-05,O7287,Goat,A,671,1
2026-01-05,O3049,Cow,B,751,5
2026-01-05,O4108,Sheep,C,108,9
2026-01-05,O4170,Sheep,C,503,8
2026-01-05,O7197,Cow,C,724,8
2026-01-05,O6539,Goat,B,326,9
2026-01-05,O1098,Cow,A,995,2
2026-01-05,O3869,Sheep,A,780,4
2026-01-06,O6699,Cow,B,376,4
2026-01-06,O7015,Sheep,C,500,1
2026-01-06,O5555,Sheep,C,569,7
2026-01-06,O2045,Goat,B,137,6
2026-01-06,O4436,Sheep,B,875,2
2026-01-07,O5893,Cow,C,580,5
2026-01-07,O8996,Sheep,C,291,1
2026-01-07,O8679,Cow,B,576,5
2026-01-07,O2060,Cow,A,401,5
2026-01-07,O1606,Sheep,A,215,5
2026-01-07,O3975,Sheep,A,355,3
2026-01-07,O9319,Goat,A,834,6
2026-01-07,O1569,Sheep,B,891,2
2026-01-07,O8455,Sheep,B,762,2
2026-01-08,O2409,Goat,A,203,1
2026-01-08,O8560,Sheep,B,275,7
2026-01-08,O6596,Goat,C,637,3
2026-01-08,O2841,Cow,A,927,7
2026-01-08,O8992,Cow,A,875,3
2026-01-08,O7614,Sheep,B,933,7
2026-01-08,O1853,Sheep,A,797,6
2026-01-08,O7457,Goat,B,404,4
2026-01-08,O5777,Goat,C,153,5
2026-01-08,O4124,Cow,C,295,6
2026-01-08,O1876,Goat,C,966,7
2026-01-08,O8079,Cow,B,735,3
2026-01-08,O5752,Sheep,C,703,7
2026-01-08,O9932,Goat,A,929,7
2026-01-09,O2931,Cow,A,157,1
2026-01-09,O8805,Goat,A,587,5
2026-01-09,O4343,Cow,C,803,5
2026-01-09,O8004,Sheep,C,175,3
2026-01-09,O8253,Cow,A,319,5
2026-01-09,O3141,Goat,B,552,5
2026-01-09,O8421,Goat,A,122,6
2026-01-09,O3849,Sheep,B,861,3
2026-01-09,O3489,Cow,A,615,8
2026-01-09,O9527,Sheep,B,596,4
2026-01-09,O2687,Goat,C,479,1
2026-01-09,O5000,Cow,C,526,5
2026-01-09,O6387,Sheep,A,516,8
2026-01-10,O2066,Cow,A,111,2
2026-01-10,O9945,Sheep,C,948,8
2026-01-10,O7748,Goat,B,701,2
2026-01-10,O9306,Cow,C,295,5
2026-01-10,O6745,Cow,C,512,8
2026-01-10,O8587,Cow,A,860,4
2026-01-10,O6988,Cow,C,788,3
2026-01-10,O5079,Goat,A,195,8
2026-01-10,O7806,Goat,A,879,1
2026-01-10,O4766,Cow,C,316,3
2026-01-10,O5968,Goat,A,980,4
2026-01-10,O1728,Goat,A,798,3
2026-01-10,O1395,Cow,A,175,9
2026-01-10,O3502,Goat,C,483,4
2026-01-11,O6486,Cow,A,198,9
2026-01-11,O6588,Cow,C,243,9
2026-01-11,O2062,Cow,A,141,7
2026-01-11,O7541,Sheep,B,232,3
2026-01-11,O6334,Cow,C,942,2
2026-01-11,O5846,Cow,B,591,1
2026-01-11,O2542,Goat,A,267,9
2026-01-12,O7938,Goat,B,616,5
2026-01-12,O6541,Sheep,A,932,6
2026-01-12,O9691,Cow,C,426,9
2026-01-12,O2324,Goat,C,886,6
2026-01-12,O5186,Goat,B,630,7
2026-01-12,O5268,Cow,B,319,4
2026-01-13,O4072,Sheep,A,447,9
2026-01-13,O2214,Cow,A,923,1
2026-01-13,O6029,Cow,B,157,5
2026-01-13,O5175,Goat,A,302,5
2026-01-13,O7190,Cow,A,625,1
2026-01-13,O9053,Sheep,C,111,8
2026-01-13,O9549,Cow,B,447,4
2026-01-13,O4719,Goat,B,639,5
2026-01-13,O5835,Sheep,B,244,9
2026-01-13,O7132,Cow,A,657,3
2026-01-13,O4324,Goat,B,982,5
2026-01-13,O2838,Cow,B,109,8
2026-01-14,O8418,Cow,A,218,8
2026-01-14,O3193,Sheep,A,878,5
2026-01-14,O8449,Sheep,A,953,1
2026-01-14,O5000,Goat,A,198,1
2026-01-14,O1404,Sheep,B,575,1
2026-01-14,O6989,Sheep,A,122,5
2026-01-15,O5809,Goat,C,244,5
2026-01-15,O8245,Cow,B,100,3
2026-01-15,O5780,Cow,B,548,1
2026-01-15,O4419,Sheep,C,253,2
2026-01-15,O1770,Sheep,B,367,1
2026-01-15,O2077,Cow,B,833,9
2026-01-15,O7544,Sheep,C,306,5
2026-01-15,O7996,Goat,B,174,3
2026-01-15,O7881,Goat,B,197,2
2026-01-16,O2331,Cow,B,580,8
2026-01-16,O6115,Goat,C,205,3
2026-01-16,O3180,Cow,B,283,1
2026-01-16,O6449,Cow,A,645,6
2026-01-16,O6569,Cow,B,846,3
2026-01-16,O7254,Cow,C,282,6
2026-01-16,O7031,Cow,C,963,3
2026-01-17,O7777,Sheep,C,888,5
2026-01-17,O6585,Goat,A,633,5
2026-01-17,O7981,Cow,A,332,2
2026-01-17,O8240,Goat,A,146,9
2026-01-17,O7493,Sheep,C,147,1
2026-01-17,O2276,Sheep,C,738,8
2026-01-18,O9717,Goat,C,177,8
2026-01-18,O1364,Goat,B,798,8
2026-01-18,O6126,Sheep,C,849,2
2026-01-18,O8673,Goat,C,982,9
2026-01-18,O6750,Cow,B,138,9
2026-01-18,O2296,Sheep,B,573,9
2026-01-18,O7288,Cow,A,679,3
2026-01-18,O1232,Cow,B,210,4
2026-01-18,O5206,Goat,B,722,8
2026-01-18,O7891,Sheep,B,524,5
2026-01-19,O3739,Goat,B,542,8
2026-01-19,O1876,Goat,A,476,1
2026-01-19,O2460,Goat,A,809,6
2026-01-19,O6622,Goat,C,545,8
2026-01-19,O9434,Sheep,A,647,8
2026-01-19,O6342,Goat,B,567,4
2026-01-19,O6966,Goat,B,980,8
2026-01-19,O6560,Goat,C,814,8
2026-01-19,O7316,Cow,B,509,6
2026-01-19,O9915,Cow,A,239,1
2026-01-20,O2828,Goat,C,610,4
2026-01-20,O7988,Sheep,C,772,6
2026-01-20,O1009,Cow,C,749,2
2026-01-20,O3060,Goat,A,418,5
2026-01-20,O3832,Cow,C,649,7
2026-01-20,O4490,Goat,C,916,5
2026-01-20,O1235,Goat,B,984,8
2026-01-20,O4530,Cow,B,687,3
2026-01-20,O3560,Goat,A,939,9
2026-01-20,O7413,Goat,C,824,5
2026-01-20,O3898,Sheep,B,509,4
2026-01-20,O1600,Cow,B,188,2
2026-01-20,O7943,Sheep,A,521,1
2026-01-20,O6142,Sheep,C,764,1
2026-01-21,O5033,Goat,A,715,8
2026-01-21,O5018,Sheep,C,297,6
2026-01-21,O2202,Goat,C,722,1
2026-01-21,O9669,Sheep,C,519,6
2026-01-21,O2120,Cow,A,510,7
2026-01-22,O6373,Goat,B,621,5
2026-01-22,O2865,Cow,B,905,4
2026-01-22,O7359,Sheep,A,747,5
2026-01-22,O3371,Cow,B,510,3
2026-01-22,O7898,Goat,C,382,5
2026-01-23,O7166,Sheep,B,401,8
2026-01-23,O1984,Cow,C,715,4
2026-01-23,O4876,Sheep,B,703,9
2026-01-23,O6109,Sheep,A,561,8
2026-01-23,O4368,Goat,C,506,1
2026-01-23,O6732,Cow,B,721,4
2026-01-23,O4030,Cow,A,930,6
2026-01-23,O5662,Sheep,C,760,9
2026-01-24,O9393,Cow,A,765,9
2026-01-24,O8970,Sheep,A,701,6
2026-01-24,O9577,Sheep,B,574,2
2026-01-24,O7490,Cow,C,975,3
2026-01-24,O2205,Cow,C,279,6
2026-01-24,O4572,Cow,A,384,6
2026-01-24,O3713,Goat,A,148,7
2026-01-24,O5944,Cow,A,247,6
2026-01-24,O9533,Sheep,A,459,1
2026-01-25,O2759,Cow,B,314,3
2026-01-25,O9058,Sheep,B,131,1
2026-01-25,O5524,Cow,B,243,8
2026-01-25,O8186,Goat,A,689,3
2026-01-25,O7645,Cow,B,321,6
2026-01-25,O5926,Cow,A,154,7
2026-01-25,O5873,Goat,C,977,2
2026-01-25,O4451,Cow,C,154,2
2026-01-25,O4462,Cow,A,412,7
2026-01-25,O6954,Sheep,C,866,8
2026-01-25,O8221,Cow,C,328,3
2026-01-26,O8776,Sheep,B,902,8
2026-01-26,O3538,Cow,B,568,7
2026-01-26,O1943,Goat,C,429,7
2026-01-26,O3198,Cow,C,723,3
2026-01-26,O2308,Goat,B,996,5
2026-01-26,O7035,Sheep,B,485,3
2026-01-26,O5566,Sheep,A,904,6
2026-01-27,O8083,Sheep,B,953,8
2026-01-27,O3679,Sheep,B,826,1
2026-01-27,O4186,Cow,B,620,8
2026-01-27,O5033,Cow,A,458,9
2026-01-27,O6877,Goat,C,593,4
2026-01-27,O7809,Goat,A,208,2
2026-01-27,O9996,Sheep,B,245,5
2026-01-27,O6475,Cow,B,133,1
2026-01-27,O6796,Cow,B,477,7
2026-01-27,O9041,Goat,A,126,9
2026-01-27,O1645,Sheep,B,367,9
2026-01-27,O9646,Goat,A,500,5
2026-01-27,O8643,Goat,B,657,2
2026-01-28,O2386,Cow,C,792,4
2026-01-28,O6490,Goat,A,248,8
2026-01-28,O8679,Cow,C,906,8
2026-01-28,O2333,Goat,C,722,8
2026-01-28,O5853,Goat,A,411,1
2026-01-28,O8715,Sheep,C,838,4
2026-01-28,O8101,Sheep,A,581,9
2026-01-28,O1153,Goat,A,172,9
2026-01-28,O3343,Cow,A,316,8
2026-01-28,O7185,Cow,C,902,3
2026-01-29,O2252,Sheep,B,201,2
2026-01-29,O7667,Sheep,A,143,1
2026-01-29,O4004,Cow,B,668,7
2026-01-29,O8982,Goat,C,875,5
2026-01-29,O2750,Cow,B,809,8
2026-01-29,O7609,Cow,C,670,9
2026-01-30,O9238,Goat,C,500,7
2026-01-30,O6913,Cow,B,349,7
2026-01-30,O5430,Cow,C,236,3
2026-01-30,O9007,Goat,C,826,2
2026-01-30,O4294,Goat,C,501,7
2026-01-30,O6392,Goat,C,251,3
2026-01-30,O3667,Cow,B,230,5
2026-01-30,O3983,Goat,C,463,7
2026-01-30,O8694,Cow,A,496,2
2026-01-30,O9684,Goat,B,549,7
2026-01-30,O9930,Goat,B,513,7
2026-01-30,O4810,Sheep,C,913,4
2026-01-30,O3032,Cow,B,344,9
2026-01-30,O1271,Sheep,A,365,9
2026-01-31,O5435,Cow,A,788,3
2026-01-31,O2165,Goat,B,423,2
2026-01-31,O5388,Cow,A,684,1
2026-01-31,O9056,Sheep,B,904,5
2026-01-31,O5805,Sheep,C,401,8
2026-01-31,O9202,Goat,A,325,9
2026-01-31,O8878,Sheep,A,674,6
2026-01-31,O4564,Goat,B,206,2
2026-01-31,O1824,Goat,A,852,3
2026-01-31,O4845,Cow,A,153,7
2026-01-31,O3736,Cow,C,119,1
2026-02-01,O3466,Goat,B,161,1
2026-02-01,O9194,Sheep,B,880,8
2026-02-01,O1892,Sheep,A,428,4
2026-02-01,O2933,Cow,B,366,9
2026-02-01,O8490,Sheep,A,748,3
2026-02-01,O6016,Goat,B,620,8
2026-02-01,O1954,Goat,C,137,8
2026-02-01,O6370,Cow,B,553,5
2026-02-01,O4020,Cow,A,692,2
2026-02-01,O1317,Cow,C,797,3
2026-02-01,O2591,Goat,C,848,1
2026-02-01,O5311,Sheep,A,670,9
2026-02-01,O7924,Sheep,A,444,5
2026-02-01,O5286,Sheep,B,799,7
2026-02-02,O1556,Goat,A,130,7
2026-02-02,O8561,Sheep,A,769,7
2026-02-02,O4998,Goat,B,817,7
2026-02-02,O6343,Cow,B,766,1
2026-02-02,O3064,Sheep,B,799,8
2026-02-02,O2007,Goat,C,513,7
2026-02-02,O6352,Goat,C,511,5
2026-02-02,O6084,Goat,B,423,1
2026-02-02,O9073,Goat,A,121,8
2026-02-03,O3353,Goat,C,384,4
2026-02-03,O9954,Sheep,A,559,7
2026-02-03,O9220,Sheep,A,745,3
2026-02-03,O4356,Cow,C,496,9
2026-02-03,O1038,Sheep,C,896,4
2026-02-03,O2823,Goat,C,183,6
2026-02-04,O3896,Goat,A,120,5
2026-02-04,O5179,Goat,C,552,3
2026-02-04,O6626,Cow,B,991,6
2026-02-04,O4598,Goat,A,262,1
2026-02-04,O9984,Goat,C,591,8
2026-02-04,O6179,Goat,A,756,5
2026-02-04,O9711,Sheep,C,785,2
2026-02-05,O7342,Sheep,A,792,8
2026-02-05,O5473,Sheep,B,626,9
2026-02-05,O2875,Cow,B,930,6
2026-02-05,O6109,Cow,A,485,8
2026-02-05,O1583,Sheep,A,820,8
2026-02-05,O9465,Goat,B,465,6
2026-02-05,O7154,Cow,A,900,6
2026-02-05,O4496,Sheep,B,790,8
2026-02-06,O7731,Cow,B,771,6
2026-02-06,O3720,Goat,B,964,2
2026-02-06,O7368,Cow,A,688,4
2026-02-06,O8833,Goat,C,293,6
2026-02-06,O8014,Goat,B,221,2
2026-02-06,O4041,Goat,C,527,1
2026-02-06,O2895,Sheep,A,734,6
2026-02-06,O3056,Goat,A,458,9
2026-02-06,O9907,Goat,B,183,7
2026-02-06,O1458,Goat,B,121,3
2026-02-06,O8294,Cow,B,113,2
2026-02-06,O8179,Sheep,A,636,3
2026-02-06,O4638,Goat,A,832,7
2026-02-07,O5790,Sheep,B,822,6
2026-02-07,O5644,Cow,C,742,3
2026-02-07,O7236,Goat,C,306,1
2026-02-07,O8005,Cow,C,123,4
2026-02-07,O4453,Goat,A,707,9
2026-02-07,O7563,Goat,A,965,4
2026-02-07,O2394,Goat,B,736,3
2026-02-07,O1529,Cow,C,836,3
2026-02-07,O4591,Goat,C,397,2
2026-02-08,O5648,Goat,B,927,8
2026-02-08,O3278,Cow,B,842,6
2026-02-08,O4216,Sheep,A,127,2
2026-02-08,O5356,Sheep,A,523,8
2026-02-08,O8062,Sheep,C,494,3
2026-02-08,O1629,Goat,B,704,9
2026-02-08,O7276,Sheep,A,412,6
2026-02-08,O7099,Cow,C,786,5
2026-02-08,O4568,Sheep,C,719,4
2026-02-08,O4953,Goat,B,610,5
2026-02-08,O1281,Cow,A,218,3
2026-02-09,O6178,Cow,A,790,4
2026-02-09,O3740,Goat,C,910,2
2026-02-09,O8473,Cow,A,138,8
2026-02-09,O7638,Sheep,B,527,6
2026-02-09,O7294,Goat,A,407,2
2026-02-09,O1891,Sheep,B,440,1
2026-02-09,O7812,Goat,A,594,6
2026-02-09,O2198,Goat,A,410,7
2026-02-09,O7089,Goat,B,244,8
2026-02-09,O1302,Cow,C,939,9
2026-02-10,O4072,Sheep,C,753,5
2026-02-10,O9125,Goat,B,803,6
2026-02-10,O1574,Cow,A,780,9
2026-02-10,O7924,Cow,A,688,9
2026-02-10,O8114,Goat,A,201,4
2026-02-10,O5114,Goat,B,693,9
2026-02-10,O2388,Sheep,A,443,6
2026-02-10,O1454,Cow,A,754,1
2026-02-11,O5806,Sheep,A,927,9
2026-02-11,O2440,Cow,A,390,6
2026-02-11,O8010,Goat,B,941,2
2026-02-11,O3989,Cow,C,184,8
2026-02-11,O3863,Goat,B,728,9
2026-02-11,O1011,Cow,B,403,5
2026-02-11,O9234,Sheep,B,913,2
2026-02-11,O7570,Cow,A,506,7
2026-02-11,O5431,Sheep,A,223,9
2026-02-11,O9906,Sheep,C,423,5
2026-02-11,O1140,Goat,C,901,4
2026-02-11,O8151,Cow,B,638,3
2026-02-11,O8311,Goat,B,757,2
2026-02-11,O7787,Goat,A,449,7
2026-02-12,O8052,Sheep,C,411,1
2026-02-12,O9105,Cow,B,135,4
2026-02-12,O2798,Goat,A,271,8
2026-02-12,O7284,Sheep,B,217,5
2026-02-12,O7869,Cow,B,620,8
2026-02-12,O6752,Cow,B,683,8
2026-02-12,O5815,Cow,B,958,5
2026-02-12,O6699,Goat,C,711,7
2026-02-12,O4273,Cow,B,775,1
2026-02-12,O1482,Goat,A,730,5
2026-02-12,O9853,Cow,C,518,7
2026-02-12,O8327,Sheep,B,689,9
2026-02-12,O8421,Cow,B,419,3
2026-02-12,O5358,Cow,B,934,6
2026-02-13,O7602,Sheep,B,630,4
2026-02-13,O2241,Goat,B,387,7
2026-02-13,O7764,Goat,A,452,4
2026-02-13,O1072,Cow,C,169,9
2026-02-13,O1707,Cow,A,927,2
2026-02-13,O6051,Cow,C,259,5
2026-02-13,O8397,Goat,C,911,3
2026-02-13,O9533,Goat,B,826,2
2026-02-13,O4874,Goat,C,897,4
2026-02-13,O1661,Goat,A,944,9
2026-02-13,O1207,Goat,B,769,9
2026-02-14,O4083,Cow,C,755,7
2026-02-14,O5443,Sheep,B,616,4
2026-02-14,O9555,Cow,A,385,5
2026-02-14,O5037,Goat,B,555,7
2026-02-14,O5895,Cow,A,883,6
2026-02-14,O3785,Cow,B,903,1
2026-02-14,O6782,Goat,A,677,9
2026-02-14,O1340,Goat,C,860,9
2026-02-14,O3496,Sheep,C,279,7
2026-02-14,O2689,Goat,C,361,3
2026-02-14,O9597,Sheep,C,441,5
2026-02-15,O5107,Sheep,A,141,6
2026-02-15,O9785,Cow,C,257,8
2026-02-15,O8629,Goat,C,947,7
2026-02-15,O8693,Cow,C,504,3
2026-02-15,O7721,Sheep,B,565,4
2026-02-15,O7097,Goat,A,892,6
2026-02-15,O5259,Sheep,B,932,6
2026-02-15,O9429,Cow,C,582,9
2026-02-16,O2048,Cow,A,581,8
2026-02-16,O3964,Goat,A,178,4
2026-02-16,O8340,Cow,C,945,4
2026-02-16,O6777,Cow,C,489,2
2026-02-16,O6179,Sheep,C,386,3
2026-02-16,O7488,Goat,B,878,2
2026-02-16,O6175,Sheep,A,182,9
2026-02-16,O6448,Goat,B,982,7
2026-02-16,O9591,Cow,C,651,1
2026-02-16,O2382,Cow,B,330,2
2026-02-17,O8870,Goat,A,582,7
2026-02-17,O2549,Sheep,A,697,5
2026-02-17,O5481,Goat,C,504,6
2026-02-17,O5837,Sheep,A,749,7
2026-02-17,O8993,Sheep,A,164,5
2026-02-17,O9433,Cow,A,792,2
2026-02-17,O5268,Cow,C,596,5
2026-02-17,O3355,Sheep,A,893,4
2026-02-17,O9737,Goat,C,844,4
2026-02-18,O7164,Goat,A,724,9
2026-02-18,O1016,Cow,A,228,2
2026-02-18,O1571,Cow,A,109,2
2026-02-18,O4897,Cow,C,858,2
2026-02-18,O1775,Sheep,B,299,1
2026-02-18,O1078,Cow,C,955,3
2026-02-18,O8083,Cow,C,200,8
2026-02-18,O5940,Cow,C,142,1
2026-02-18,O8788,Sheep,C,763,1
2026-02-18,O2668,Cow,B,465,4
2026-02-19,O6330,Sheep,C,639,3
2026-02-19,O9964,Goat,B,451,8
2026-02-19,O6439,Goat,B,722,1
2026-02-19,O2246,Cow,A,562,2
2026-02-19,O2827,Goat,B,716,9
2026-02-19,O9569,Sheep,B,866,2
2026-02-19,O3196,Sheep,B,473,5
2026-02-19,O7303,Sheep,B,622,1
2026-02-20,O8569,Sheep,A,764,8
2026-02-20,O6946,Goat,B,725,6
2026-02-20,O3461,Cow,C,785,1
2026-02-20,O8031,Cow,C,221,7
2026-02-20,O1038,Cow,A,629,5
2026-02-20,O8165,Cow,B,401,8
2026-02-20,O7381,Sheep,C,335,6
2026-02-20,O9853,Sheep,A,633,2
2026-02-20,O5558,Sheep,B,706,3
2026-02-20,O5183,Cow,B,782,5
2026-02-20,O2724,Cow,C,802,6
2026-02-20,O3066,Sheep,A,129,7
2026-02-21,O8295,Cow,C,235,8
2026-02-21,O7272,Cow,C,548,4
2026-02-21,O6343,Goat,B,590,9
2026-02-21,O4081,Cow,B,330,2
2026-02-21,O3159,Cow,A,599,4
2026-02-21,O3649,Goat,B,111,1
2026-02-21,O2037,Cow,B,536,9
2026-02-21,O3634,Sheep,C,169,8
2026-02-21,O8378,Cow,B,231,4
2026-02-21,O2929,Goat,C,253,5
2026-02-21,O8909,Cow,B,970,5
2026-02-21,O6891,Cow,A,119,1
2026-02-21,O3563,Cow,B,614,8
2026-02-22,O5431,Goat,C,599,4
2026-02-22,O4959,Goat,B,769,2
2026-02-22,O4390,Goat,C,505,8
2026-02-22,O1541,Goat,B,216,4
2026-02-22,O9623,Cow,B,282,1
2026-02-22,O2169,Sheep,A,862,9
2026-02-22,O2019,Goat,A,260,1
2026-02-22,O2283,Sheep,C,498,6
2026-02-22,O3125,Sheep,C,236,5
2026-02-23,O9691,Cow,B,149,3
2026-02-23,O6068,Sheep,A,961,6
2026-02-23,O3757,Cow,C,976,3
2026-02-23,O7900,Sheep,B,646,3
2026-02-23,O8999,Cow,A,173,5
2026-02-23,O4331,Goat,C,394,2
2026-02-23,O3978,Cow,A,711,6
2026-02-23,O1685,Cow,C,695,8
2026-02-23,O7868,Goat,B,513,6
2026-02-23,O5998,Sheep,C,319,8
2026-02-23,O1905,Goat,C,717,9
2026-02-23,O1204,Goat,A,912,4
2026-02-23,O3643,Goat,B,974,9
2026-02-24,O1689,Cow,C,618,6
2026-02-24,O1671,Sheep,C,298,5
2026-02-24,O2449,Goat,B,412,5
2026-02-24,O3361,Cow,B,680,3
2026-02-24,O4670,Goat,A,404,3
2026-02-24,O9562,Cow,A,483,9
2026-02-24,O7588,Cow,A,277,5
2026-02-24,O8875,Sheep,B,426,6
2026-02-24,O4062,Cow,A,763,2
2026-02-25,O3090,Cow,C,697,1
2026-02-25,O5624,Goat,B,593,6
2026-02-25,O4648,Goat,A,616,2
2026-02-25,O4137,Goat,B,243,3
2026-02-25,O4750,Goat,C,393,3
2026-02-25,O2727,Sheep,C,660,7
2026-02-25,O3324,Goat,C,167,4
2026-02-25,O6774,Cow,C,825,4
2026-02-25,O1781,Sheep,A,779,1
2026-02-25,O3113,Cow,B,998,8
2026-02-25,O8264,Goat,C,873,7
2026-02-25,O7744,Sheep,B,526,3
2026-02-25,O7852,Sheep,C,603,8
2026-02-25,O9087,Cow,A,696,8
2026-02-26,O6000,Sheep,C,337,8
2026-02-26,O7971,Goat,B,874,3
2026-02-26,O1258,Sheep,B,974,8
2026-02-26,O7629,Cow,A,619,5
2026-02-26,O1687,Sheep,A,359,6
2026-02-26,O7509,Goat,C,643,9
2026-02-26,O8183,Cow,C,208,7
2026-02-26,O6108,Cow,B,368,2
2026-02-26,O2283,Goat,B,834,7
2026-02-26,O4711,Sheep,A,636,3
2026-02-26,O4864,Goat,B,481,5
2026-02-27,O1264,Goat,B,745,3
2026-02-27,O8544,Sheep,B,463,9
2026-02-27,O1587,Goat,B,376,8
2026-02-27,O9381,Cow,A,774,4
2026-02-27,O7450,Sheep,B,413,9
2026-02-27,O3326,Goat,A,936,3
