date,stage,machine_available,labor_shifts,throughput
2026-01-01,Tanning,8,2,104
2026-01-01,Drying,7,2,146
2026-01-01,Finishing,4,3,114
2026-01-02,Tanning,9,1,50
2026-01-02,Drying,6,1,131
2026-01-02,Finishing,5,3,108
2026-01-03,Tanning,3,2,104
2026-01-03,Drying,6,2,111
2026-01-03,Finishing,4,3,137
2026-01-04,Tanning,3,1,105
2026-01-04,Drying,4,2,126
2026-01-04,Finishing,3,1,92
2026-01-05,Tanning,9,1,91
2026-01-05,Drying,3,3,67
2026-01-05,Finishing,9,2,79
2026-01-06,Tanning,4,2,107
2026-01-06,Drying,6,3,120
2026-01-06,Finishing,4,2,56
2026-01-07,Tanning,8,2,114
2026-01-07,Drying,6,2,98
2026-01-07,Finishing,6,2,78
2026-01-08,Tanning,7,2,127
2026-01-08,Drying,3,3,96
2026-01-08,Finishing,6,2,100
2026-01-09,Tanning,5,2,69
2026-01-09,Drying,5,2,121
2026-01-09,Finishing,3,2,73
2026-01-10,Tanning,9,3,132
2026-01-10,Drying,8,3,106
2026-01-10,Finishing,9,3,111
2026-01-11,Tanning,8,1,71
2026-01-11,Drying,5,2,78
2026-01-11,Finishing,5,1,91
2026-01-12,Tanning,4,1,80
2026-01-12,Drying,8,2,66
2026-01-12,Finishing,8,2,136
2026-01-13,Tanning,3,3,105
2026-01-13,Drying,8,3,105
2026-01-13,Finishing,9,3,106
2026-01-14,Tanning,6,2,84
2026-01-14,Drying,4,1,50
2026-01-14,Finishing,6,1,142
2026-01-15,Tanning,8,1,114
2026-01-15,Drying,5,1,140
2026-01-15,Finishing,7,1,65
2026-01-16,Tanning,6,3,110
2026-01-16,Drying,8,2,129
2026-01-16,Finishing,6,1,149
2026-01-17,Tanning,4,3,66
2026-01-17,Drying,3,3,72
2026-01-17,Finishing,9,1,120
2026-01-18,Tanning,6,3,83
2026-01-18,Drying,8,1,117
2026-01-18,Finishing,8,2,65
2026-01-19,Tanning,9,3,51
2026-01-19,Drying,4,2,130
2026-01-19,Finishing,7,2,71
2026-01-20,Tanning,3,1,103
2026-01-20,Drying,9,1,107
2026-01-20,Finishing,8,3,67
2026-01-21,Tanning,8,1,146
2026-01-21,Drying,9,3,75
2026-01-21,Finishing,7,3,128
2026-01-22,Tanning,6,3,75
2026-01-22,Drying,3,3,85
2026-01-22,Finishing,7,3,113
2026-01-23,Tanning,5,1,118
2026-01-23,Drying,7,2,104
2026-01-23,Finishing,4,1,129
2026-01-24,Tanning,9,2,129
2026-01-24,Drying,8,1,75
2026-01-24,Finishing,5,3,116
2026-01-25,Tanning,9,1,83
2026-01-25,Drying,3,1,90
2026-01-25,Finishing,9,3,52
2026-01-26,Tanning,4,3,131
