date,stock,lead_time,rejection_rate
2026-01-01,3300,6,0.1934437822270042
2026-01-02,4197,6,0.10650146606441938
2026-01-03,2200,4,0.10088609917607547
2026-01-04,4108,2,0.059364699091667056
2026-01-05,3457,5,0.12292604811573246
2026-01-06,2634,2,0.06635204234613931
2026-01-07,2633,6,0.0872809731391139
2026-01-08,1126,2,0.09754139326509222
2026-01-09,2506,5,0.17132394852375263
2026-01-10,2191,4,0.18132329755938448
2026-01-11,3639,3,0.09536994761922046
2026-01-12,1293,2,0.17880471818668608
2026-01-13,4916,3,0.1785846406054687
2026-01-14,4709,6,0.16469764255773106
2026-01-15,2366,4,0.07200426710227724
2026-01-16,2019,4,0.15354842703510935
2026-01-17,3357,2,0.19175360968708532
2026-01-18,3709,4,0.15238107181507357
2026-01-19,3575,2,0.0997425273661751
2026-01-20,3587,2,0.12508689761462471
2026-01-21,1418,3,0.14685875650265806
2026-01-22,1443,4,0.12658556130927556
2026-01-23,1684,2,0.06799294125964547
2026-01-24,4629,3,0.09680960669780311
2026-01-25,3887,5,0.17035940458304488
2026-01-26,3283,3,0.1792127069143276
2026-01-27,2462,3,0.07059500490733554
2026-01-28,3261,2,0.1928580128598087
2026-01-29,1084,6,0.0993233926772914
2026-01-30,3841,6,0.14934706080960802
2026-01-31,2767,6,0.16277377189350217
2026-02-01,1084,3,0.17179193519568253
2026-02-02,2944,2,0.19186245533388957
2026-02-03,4560,4,0.0969379322043234
2026-02-04,3112,3,0.17877596818273317
2026-02-05,2669,3,0.06975303551543106
2026-02-06,1662,2,0.15575613595303894
2026-02-07,1626,5,0.16129665942709792
2026-02-08,1063,3,0.1516584861801981
2026-02-09,4414,5,0.08784721042027296
2026-02-10,3986,5,0.18095647205228055
2026-02-11,4946,6,0.07532876950555925
2026-02-12,1918,2,0.058045218728124626
2026-02-13,2375,5,0.15761974859178685
2026-02-14,2181,2,0.12132135728491007
2026-02-15,2612,6,0.17736470299380142
2026-02-16,1490,2,0.10750957115873885
2026-02-17,4729,3,0.07524178827615693
2026-02-18,2878,5,0.17546632887048047
2026-02-19,4534,2,0.13233644474601075
2026-02-20,4296,4,0.07837936885855323
2026-02-21,2940,2,0.15805759978796688
2026-02-22,1312,5,0.12666704577342508
2026-02-23,3662,6,0.140646947336048
2026-02-24,1918,6,0.1191347507309873
2026-02-25,2882,5,0.17430634757270097
2026-02-26,1812,3,0.1744344073524575
2026-02-27,3987,3,0.15640832327365795
2026-02-28,2489,6,0.06581020660946935
2026-03-01,4159,6,0.17582807928561034
2026-03-02,4954,5,0.15065194707993648
2026-03-03,2326,3,0.15455362490064495
2026-03-04,1679,6,0.10444742606058076
2026-03-05,1434,3,0.18189193342355103
2026-03-06,1681,6,0.15880574003522863
2026-03-07,2158,2,0.06688856997937917
2026-03-08,2073,4,0.11116670516092442
2026-03-09,2455,2,0.18295705429402126
2026-03-10,3387,6,0.05707950525460685
2026-03-11,3394,4,0.19421249294630744
2026-03-12,3693,4,0.15187438524793445
2026-03-13,2370,6,0.1447063966465065
2026-03-14,1648,6,0.09058388847319872
2026-03-15,1244,3,0.08731876831087657
2026-03-16,3156,6,0.19130873292328937
2026-03-17,4896,5,0.09474086813511842
2026-03-18,4870,6,0.16632579450784993
2026-03-19,3580,5,0.10896826973106188
2026-03-20,4161,6,0.0708881106177056
2026-03-21,1295,3,0.051607294654303845
2026-03-22,3159,5,0.13163860055228765
2026-03-23,4884,2,0.1963668227823399
2026-03-24,2612,5,0.10537042907138068
2026-03-25,4248,3,0.10357885009895673
2026-03-26,3390,5,0.10161374267741632
2026-03-27,4731,6,0.12808157559572877
2026-03-28,3148,6,0.11609973251364404
2026-03-29,4829,3,0.18198719400905222
2026-03-30,3676,4,0.12582811875852357
2026-03-31,2627,6,0.12616367572828535
2026-04-01,4472,2,0.07075573920808349
2026-04-02,1027,3,0.19741093113655794
2026-04-03,3984,5,0.08749593363032446
2026-04-04,2985,5,0.06100461011894041
2026-04-05,2560,2,0.14947193734628134
2026-04-06,1057,6,0.13930495552353092
2026-04-07,2521,3,0.11227184809891187
2026-04-08,1296,2,0.11332883508210172
2026-04-09,3181,6,0.16775958815696468
2026-04-10,4402,3,0.07935689601494736
2026-04-11,3296,5,0.1730379978417335
2026-04-12,4068,3,0.14731206708425273
2026-04-13,3597,4,0.11284546606692866
2026-04-14,1901,3,0.11870429248758031
2026-04-15,2964,4,0.08849708107791437
2026-04-16,2098,3,0.16281714990454624
2026-04-17,2677,4,0.12693121134579016
2026-04-18,3881,5,0.09812818141247655
2026-04-19,2191,6,0.13940751736414256
2026-04-20,1770,4,0.1993601678076985
2026-04-21,2526,4,0.11528934194848309
2026-04-22,4956,5,0.18810371011679294
2026-04-23,2378,4,0.10175252598868492
2026-04-24,2248,2,0.058209906038747886
2026-04-25,4735,5,0.08063631595526434
2026-04-26,2554,2,0.11280427149915265
2026-04-27,1145,5,0.08294523928918536
2026-04-28,2983,4,0.050034055732738336
2026-04-29,2264,2,0.1872502306621291
2026-04-30,2907,4,0.17658191168463938
