date,product_type,quantity_produced,Hides_kg,Chrome_Chemicals_L,Dyes_kg,Salt_kg
2024-01-01,Belt,112.0,49.05,14.75,8.38,12.11
2024-01-01,Bag,128.0,128.59,47.82,22.76,35.43
2024-01-01,Shoe Leather,154.0,108.21,37.65,17.04,35.58
2024-01-01,Jacket Leather,135.0,256.13,85.9,35.0,73.43
2024-01-01,Wallet,100.0,32.66,10.86,5.44,7.88
2024-01-01,Custom,37.0,50.06,18.64,6.99,12.78
2024-01-02,Belt,79.0,32.28,12.0,5.79,8.27
2024-01-02,Bag,40.0,47.31,18.06,7.0,10.35
2024-01-02,Shoe Leather,70.0,44.78,17.8,7.66,15.09
2024-01-02,Jacket Leather,31.0,57.6,23.3,8.06,17.59
2024-01-02,Wallet,26.0,8.84,2.61,1.57,1.95
2024-01-02,Custom,149.0,212.76,76.45,32.21,51.74
2024-01-03,Belt,65.0,25.92,9.37,4.63,7.6
2024-01-03,Bag,94.0,102.85,39.52,17.06,26.08
2024-01-03,Shoe Leather,60.0,38.79,14.93,5.64,12.38
2024-01-03,Jacket Leather,134.0,255.5,81.9,38.73,75.78
2024-01-03,Wallet,163.0,59.04,17.65,10.46,13.85
2024-01-03,Custom,48.0,70.53,23.37,9.33,14.98
2024-01-04,Belt,153.0,65.18,22.33,11.0,15.4
2024-01-04,Bag,54.0,58.46,20.56,9.35,15.52
2024-01-04,Shoe Leather,145.0,98.93,39.47,15.13,27.64
2024-01-04,Jacket Leather,177.0,323.56,123.99,45.89,95.73
2024-01-04,Wallet,153.0,53.29,16.32,8.42,13.77
2024-01-04,Custom,85.0,109.72,37.07,18.53,30.86
2024-01-05,Belt,182.0,68.53,25.41,12.06,18.89
2024-01-05,Bag,186.0,202.91,81.56,33.2,48.36
2024-01-05,Shoe Leather,134.0,86.23,35.73,15.16,30.58
2024-01-05,Jacket Leather,112.0,211.8,77.02,30.22,63.13
2024-01-05,Wallet,171.0,55.05,16.79,9.44,14.23
2024-01-05,Custom,178.0,233.08,91.88,38.98,57.34
2024-01-06,Belt,135.0,58.09,17.63,10.54,13.58
2024-01-06,Bag,26.0,28.5,9.8,4.13,7.74
2024-01-06,Shoe Leather,150.0,105.87,40.7,15.64,32.0
2024-01-06,Jacket Leather,82.0,152.65,54.63,21.06,47.44
2024-01-06,Wallet,83.0,29.18,9.06,4.93,6.25
2024-01-06,Custom,107.0,133.96,50.42,22.28,39.28
2024-01-07,Belt,184.0,71.01,27.05,13.8,18.79
2024-01-07,Bag,69.0,81.4,27.7,11.37,19.94
2024-01-07,Shoe Leather,34.0,22.39,8.43,3.92,7.77
2024-01-07,Jacket Leather,109.0,208.39,69.02,32.42,59.01
2024-01-07,Wallet,121.0,38.87,11.66,7.69,10.77
2024-01-07,Custom,32.0,41.59,15.83,6.93,11.84
2024-01-08,Belt,71.0,30.74,10.25,4.53,6.92
2024-01-08,Bag,166.0,185.62,69.33,26.52,48.99
2024-01-08,Shoe Leather,155.0,94.33,38.79,16.53,34.05
2024-01-08,Jacket Leather,185.0,354.57,131.98,47.28,96.43
2024-01-08,Wallet,150.0,49.81,16.74,9.25,11.87
2024-01-08,Custom,174.0,215.1,79.59,33.07,56.14
2024-01-09,Belt,57.0,25.81,8.01,4.36,5.94
2024-01-09,Bag,42.0,45.97,17.76,6.98,10.74
2024-01-09,Shoe Leather,76.0,52.13,20.99,8.55,14.61
2024-01-09,Jacket Leather,171.0,379.84,127.68,50.25,89.79
2024-01-09,Wallet,56.0,20.86,5.84,3.62,5.07
2024-01-09,Custom,123.0,159.26,56.51,26.46,40.36
2024-01-10,Belt,133.0,53.39,18.39,10.1,15.4
2024-01-10,Bag,173.0,170.54,72.7,31.34,43.06
2024-01-10,Shoe Leather,156.0,101.94,40.67,17.77,30.52
2024-01-10,Jacket Leather,174.0,358.19,113.61,46.29,89.3
2024-01-10,Wallet,154.0,57.03,16.31,9.04,13.46
2024-01-10,Custom,80.0,98.11,36.73,14.43,29.47
2024-01-11,Belt,146.0,58.53,18.83,10.48,13.93
2024-01-11,Bag,155.0,154.96,70.14,27.28,45.01
2024-01-11,Shoe Leather,66.0,40.74,19.15,6.8,12.91
2024-01-11,Jacket Leather,31.0,67.6,20.14,8.72,15.5
2024-01-11,Wallet,117.0,37.37,12.17,7.18,8.91
2024-01-11,Custom,147.0,218.82,69.35,28.27,53.25
2024-01-12,Belt,78.0,31.7,11.6,5.22,7.71
2024-01-12,Bag,77.0,89.59,33.14,12.48,19.45
2024-01-12,Shoe Leather,26.0,17.17,6.51,2.46,5.03
2024-01-12,Jacket Leather,124.0,259.69,84.87,34.66,66.16
2024-01-12,Wallet,104.0,34.73,10.38,5.91,9.0
2024-01-12,Custom,182.0,237.52,78.07,33.2,59.5
2024-01-13,Belt,186.0,79.87,26.1,12.0,19.65
2024-01-13,Bag,58.0,60.44,23.59,9.81,14.12
2024-01-13,Shoe Leather,83.0,61.44,21.37,7.9,19.24
2024-01-13,Jacket Leather,106.0,232.36,74.85,26.65,52.18
2024-01-13,Wallet,26.0,8.07,2.84,1.69,2.2
2024-01-13,Custom,176.0,241.46,76.16,37.47,64.05
2024-01-14,Belt,35.0,13.98,5.4,2.67,3.45
2024-01-14,Bag,144.0,146.72,57.87,21.44,40.03
2024-01-14,Shoe Leather,94.0,65.83,24.65,10.27,19.1
2024-01-14,Jacket Leather,122.0,237.26,76.64,34.46,67.97
2024-01-14,Wallet,158.0,48.59,16.43,10.21,13.14
2024-01-14,Custom,110.0,157.27,55.33,24.38,36.95
2024-01-15,Belt,106.0,42.22,16.35,8.06,11.07
2024-01-15,Bag,36.0,40.56,13.86,5.72,9.72
2024-01-15,Shoe Leather,96.0,70.0,24.96,11.01,19.84
2024-01-15,Jacket Leather,144.0,320.49,105.13,37.62,85.19
2024-01-15,Wallet,133.0,45.3,14.09,7.15,10.02
2024-01-15,Custom,144.0,187.03,69.99,30.23,51.99
2024-01-16,Belt,73.0,27.59,11.25,5.67,8.55
2024-01-16,Bag,128.0,137.02,57.14,20.44,31.86
2024-01-16,Shoe Leather,89.0,63.26,25.85,10.17,20.24
2024-01-16,Jacket Leather,173.0,365.75,106.9,49.83,97.36
2024-01-16,Wallet,29.0,9.88,2.88,1.73,2.56
2024-01-16,Custom,98.0,140.88,50.31,21.54,35.1
2024-01-17,Belt,84.0,36.14,11.82,5.78,9.29
2024-01-17,Bag,101.0,105.39,41.02,15.77,26.78
2024-01-17,Shoe Leather,132.0,81.31,32.72,12.8,28.75
2024-01-17,Jacket Leather,26.0,53.83,16.41,6.75,13.72
2024-01-17,Wallet,155.0,56.85,15.4,9.98,11.4
2024-01-17,Custom,161.0,219.67,72.66,28.97,59.69
2024-01-18,Belt,164.0,68.24,25.44,11.62,17.83
2024-01-18,Bag,37.0,37.78,16.62,6.26,9.63
2024-01-18,Shoe Leather,182.0,134.92,53.96,17.43,37.61
2024-01-18,Jacket Leather,154.0,320.73,99.88,38.82,82.51
2024-01-18,Wallet,183.0,58.69,18.36,10.42,14.26
2024-01-18,Custom,156.0,220.25,74.07,29.97,56.85
2024-01-19,Belt,158.0,59.94,20.28,12.19,16.42
2024-01-19,Bag,65.0,76.06,24.21,11.48,17.65
2024-01-19,Shoe Leather,29.0,17.71,7.6,3.26,6.75
2024-01-19,Jacket Leather,175.0,346.6,125.67,46.24,101.27
2024-01-19,Wallet,175.0,63.96,18.39,10.1,13.71
2024-01-19,Custom,71.0,103.97,35.79,15.78,26.9
2024-01-20,Belt,178.0,74.74,26.38,13.27,18.39
2024-01-20,Bag,97.0,103.65,36.71,17.48,26.78
2024-01-20,Shoe Leather,186.0,137.07,53.06,17.79,37.43
2024-01-20,Jacket Leather,58.0,121.78,39.56,16.53,31.37
2024-01-20,Wallet,35.0,12.67,4.05,1.87,3.04
2024-01-20,Custom,148.0,184.29,62.54,31.15,51.69
2024-01-21,Belt,81.0,35.36,12.36,5.83,9.41
2024-01-21,Bag,67.0,73.98,26.98,10.9,19.71
2024-01-21,Shoe Leather,69.0,47.39,18.41,7.92,13.94
2024-01-21,Jacket Leather,115.0,251.24,85.68,28.68,67.65
2024-01-21,Wallet,88.0,31.54,8.4,4.65,7.39
2024-01-21,Custom,132.0,183.08,58.5,23.94,41.35
2024-01-22,Belt,180.0,75.44,24.87,13.24,17.76
2024-01-22,Bag,137.0,143.08,61.03,22.39,38.3
2024-01-22,Shoe Leather,176.0,122.51,44.76,19.88,35.99
2024-01-22,Jacket Leather,169.0,320.21,105.19,42.02,90.66
2024-01-22,Wallet,101.0,37.36,9.85,5.73,8.0
2024-01-22,Custom,47.0,67.2,22.57,8.51,17.2
2024-01-23,Belt,78.0,31.32,9.86,5.95,7.54
2024-01-23,Bag,109.0,109.72,41.98,17.4,29.31
2024-01-23,Shoe Leather,48.0,32.1,12.99,5.39,9.24
2024-01-23,Jacket Leather,72.0,135.4,51.2,20.96,41.13
2024-01-23,Wallet,40.0,13.46,4.25,2.22,3.12
2024-01-23,Custom,48.0,58.78,21.91,9.08,15.9
2024-01-24,Belt,62.0,24.07,8.46,4.35,6.36
2024-01-24,Bag,117.0,126.25,49.1,20.27,32.09
2024-01-24,Shoe Leather,167.0,112.46,41.67,16.89,34.38
2024-01-24,Jacket Leather,47.0,97.21,30.13,12.63,24.36
2024-01-24,Wallet,128.0,41.02,12.34,6.94,9.92
2024-01-24,Custom,28.0,40.73,12.03,5.97,8.65
2024-01-25,Belt,141.0,52.84,20.0,9.76,16.45
2024-01-25,Bag,30.0,31.46,13.46,5.27,8.58
2024-01-25,Shoe Leather,121.0,82.1,34.17,13.64,26.71
2024-01-25,Jacket Leather,140.0,283.67,102.47,35.52,83.35
2024-01-25,Wallet,82.0,27.65,8.73,4.58,6.23
2024-01-25,Custom,101.0,144.47,43.37,20.23,37.63
2024-01-26,Belt,90.0,37.31,11.49,6.13,8.79
2024-01-26,Bag,153.0,167.11,58.93,26.16,37.72
2024-01-26,Shoe Leather,78.0,55.35,22.3,8.44,16.44
2024-01-26,Jacket Leather,163.0,321.08,121.39,47.21,96.94
2024-01-26,Wallet,91.0,33.85,10.62,5.01,7.29
2024-01-26,Custom,26.0,36.22,12.17,5.46,8.02
2024-01-27,Belt,114.0,49.34,17.08,8.59,11.24
2024-01-27,Bag,95.0,106.53,39.34,15.19,27.79
2024-01-27,Shoe Leather,100.0,71.02,26.83,11.09,23.02
2024-01-27,Jacket Leather,131.0,254.84,93.91,35.4,66.72
2024-01-27,Wallet,70.0,25.8,7.57,3.76,6.27
2024-01-27,Custom,139.0,197.6,68.22,25.87,51.33
2024-01-28,Belt,53.0,21.83,8.05,3.94,5.16
2024-01-28,Bag,107.0,120.87,46.66,16.28,27.12
2024-01-28,Shoe Leather,81.0,58.1,23.57,8.25,18.25
2024-01-28,Jacket Leather,160.0,316.46,107.91,44.14,86.41
2024-01-28,Wallet,140.0,44.23,13.98,8.63,12.08
2024-01-28,Custom,105.0,145.4,50.23,22.02,36.67
2024-01-29,Belt,150.0,57.68,23.06,10.79,15.57
2024-01-29,Bag,65.0,66.68,27.22,11.56,16.12
2024-01-29,Shoe Leather,119.0,85.0,32.8,11.52,27.41
2024-01-29,Jacket Leather,138.0,305.07,97.98,34.46,75.63
2024-01-29,Wallet,128.0,39.72,12.35,6.91,11.32
2024-01-29,Custom,34.0,45.46,14.67,7.49,12.42
2024-01-30,Belt,179.0,79.05,24.39,12.14,17.87
2024-01-30,Bag,146.0,154.65,54.43,23.21,42.06
2024-01-30,Shoe Leather,124.0,86.44,30.79,12.88,28.28
2024-01-30,Jacket Leather,57.0,111.98,37.55,16.17,30.47
2024-01-30,Wallet,170.0,52.17,19.56,9.45,14.21
2024-01-30,Custom,178.0,235.91,90.87,34.45,61.57
2024-01-31,Belt,152.0,58.85,20.14,10.76,17.72
2024-01-31,Bag,114.0,113.92,45.99,17.08,34.04
2024-01-31,Shoe Leather,66.0,43.26,17.19,6.86,13.8
2024-01-31,Jacket Leather,181.0,399.2,115.64,45.71,88.21
2024-01-31,Wallet,50.0,18.31,5.4,2.82,4.31
2024-01-31,Custom,121.0,159.65,57.45,22.34,38.35
2024-02-01,Belt,149.0,55.67,22.11,9.98,17.07
2024-02-01,Bag,153.0,161.97,56.49,23.3,43.19
2024-02-01,Shoe Leather,98.0,65.21,26.67,9.78,19.31
2024-02-01,Jacket Leather,81.0,150.41,58.58,20.34,45.09
2024-02-01,Wallet,30.0,9.23,2.96,1.82,2.62
2024-02-01,Custom,138.0,182.92,67.37,25.91,45.08
2024-02-02,Belt,164.0,61.52,23.78,12.14,18.63
2024-02-02,Bag,113.0,113.67,47.21,18.25,33.03
2024-02-02,Shoe Leather,61.0,42.54,15.86,6.87,12.48
2024-02-02,Jacket Leather,118.0,228.8,82.82,31.38,64.7
2024-02-02,Wallet,66.0,21.38,7.6,4.07,4.98
2024-02-02,Custom,150.0,201.61,76.21,31.79,50.17
2024-02-03,Belt,115.0,47.5,17.08,8.47,11.93
2024-02-03,Bag,41.0,47.25,18.51,6.75,10.26
2024-02-03,Shoe Leather,53.0,32.3,15.53,5.13,11.35
2024-02-03,Jacket Leather,156.0,287.91,104.17,42.14,88.27
2024-02-03,Wallet,117.0,35.66,11.4,7.45,10.37
2024-02-03,Custom,158.0,201.66,76.17,31.44,54.54
2024-02-04,Belt,139.0,56.26,19.14,9.85,13.3
2024-02-04,Bag,66.0,75.41,24.88,11.16,16.97
2024-02-04,Shoe Leather,142.0,104.01,37.97,16.39,31.54
2024-02-04,Jacket Leather,66.0,134.29,46.83,19.61,37.67
2024-02-04,Wallet,50.0,16.07,5.29,2.7,4.38
2024-02-04,Custom,88.0,118.82,42.21,16.96,31.71
2024-02-05,Belt,82.0,30.52,12.06,5.75,8.98
2024-02-05,Bag,57.0,60.87,21.25,8.5,13.72
2024-02-05,Shoe Leather,166.0,107.9,45.83,17.08,32.14
2024-02-05,Jacket Leather,62.0,117.04,46.6,16.67,31.47
2024-02-05,Wallet,73.0,27.22,8.12,4.4,6.32
2024-02-05,Custom,118.0,163.55,60.92,25.51,41.32
2024-02-06,Belt,70.0,31.96,10.86,4.48,7.77
2024-02-06,Bag,139.0,140.25,58.07,24.92,33.89
2024-02-06,Shoe Leather,117.0,83.51,29.5,11.34,24.29
2024-02-06,Jacket Leather,89.0,189.92,54.79,23.77,48.23
2024-02-06,Wallet,106.0,32.44,11.4,5.85,7.98
2024-02-06,Custom,102.0,148.53,48.06,20.04,33.92
2024-02-07,Belt,54.0,21.49,7.73,4.07,5.53
2024-02-07,Bag,152.0,177.81,64.05,23.58,36.92
2024-02-07,Shoe Leather,159.0,119.81,38.45,15.71,32.84
2024-02-07,Jacket Leather,100.0,216.2,75.37,26.17,57.12
2024-02-07,Wallet,73.0,24.7,7.91,4.62,6.6
2024-02-07,Custom,31.0,38.5,14.15,6.26,11.16
2024-02-08,Belt,165.0,62.16,22.52,11.09,16.67
2024-02-08,Bag,175.0,192.98,68.64,31.34,42.77
2024-02-08,Shoe Leather,138.0,91.47,38.61,13.68,31.89
2024-02-08,Jacket Leather,72.0,138.85,49.99,21.45,42.1
2024-02-08,Wallet,94.0,31.67,10.14,5.11,8.5
2024-02-08,Custom,70.0,93.14,35.47,13.26,25.68
2024-02-09,Belt,111.0,43.11,14.6,7.37,10.97
2024-02-09,Bag,26.0,29.59,11.2,4.33,6.5
2024-02-09,Shoe Leather,30.0,22.6,9.08,2.99,6.29
2024-02-09,Jacket Leather,166.0,335.99,124.77,48.54,88.81
2024-02-09,Wallet,34.0,10.78,3.58,2.01,2.81
2024-02-09,Custom,102.0,136.04,46.65,19.31,34.45
2024-02-10,Belt,146.0,64.36,18.5,9.89,16.81
2024-02-10,Bag,134.0,132.52,54.2,21.51,34.46
2024-02-10,Shoe Leather,130.0,79.84,35.27,15.05,25.13
2024-02-10,Jacket Leather,46.0,84.33,33.4,12.31,24.54
2024-02-10,Wallet,98.0,36.13,10.48,5.93,8.1
2024-02-10,Custom,50.0,72.42,24.79,10.24,18.16
2024-02-11,Belt,70.0,26.86,9.58,4.69,8.13
2024-02-11,Bag,103.0,114.37,44.72,15.74,30.15
2024-02-11,Shoe Leather,70.0,47.08,20.33,6.59,15.72
2024-02-11,Jacket Leather,168.0,359.2,106.23,48.47,97.22
2024-02-11,Wallet,33.0,10.0,3.31,1.97,2.97
2024-02-11,Custom,37.0,45.66,16.84,6.58,13.39
2024-02-12,Belt,79.0,31.07,10.02,5.5,8.98
2024-02-12,Bag,148.0,164.5,66.46,22.29,43.72
2024-02-12,Shoe Leather,100.0,72.08,29.6,9.82,22.37
2024-02-12,Jacket Leather,139.0,287.91,91.75,38.59,67.97
2024-02-12,Wallet,63.0,23.78,6.93,3.67,5.36
2024-02-12,Custom,167.0,238.34,70.64,30.0,54.84
2024-02-13,Belt,86.0,37.94,11.54,5.44,8.47
2024-02-13,Bag,46.0,54.9,17.47,8.21,12.61
2024-02-13,Shoe Leather,46.0,32.92,11.79,4.47,10.19
2024-02-13,Jacket Leather,41.0,76.43,29.98,12.11,19.85
2024-02-13,Wallet,40.0,14.82,4.55,2.58,3.47
2024-02-13,Custom,128.0,166.04,57.87,26.79,45.9
2024-02-14,Belt,154.0,56.87,22.36,10.53,17.5
2024-02-14,Bag,45.0,53.25,17.19,7.95,12.82
2024-02-14,Shoe Leather,86.0,58.3,23.5,8.2,19.43
2024-02-14,Jacket Leather,161.0,294.36,119.4,44.53,92.4
2024-02-14,Wallet,146.0,44.35,15.72,8.75,11.33
2024-02-14,Custom,30.0,38.46,14.26,5.51,10.54
2024-02-15,Belt,117.0,48.96,16.23,9.08,11.43
2024-02-15,Bag,40.0,39.31,16.07,6.55,11.04
2024-02-15,Shoe Leather,49.0,34.37,13.91,5.66,11.22
2024-02-15,Jacket Leather,32.0,64.78,19.97,8.17,19.09
2024-02-15,Wallet,151.0,46.24,15.93,8.34,12.03
2024-02-15,Custom,158.0,190.74,71.34,31.6,48.99
2024-02-16,Belt,150.0,55.41,19.2,10.32,14.58
2024-02-16,Bag,106.0,106.89,45.21,18.56,25.75
2024-02-16,Shoe Leather,161.0,100.37,44.72,17.75,30.62
2024-02-16,Jacket Leather,28.0,58.33,19.54,7.24,16.54
2024-02-16,Wallet,81.0,28.79,9.09,4.58,7.09
2024-02-16,Custom,29.0,40.25,13.69,5.87,10.41
