worker_id,machine,start_time,end_time,duration
W001,tanning,2026-04-01 08:00:00,2026-04-01 12:00:00,4
W001,drying,2026-04-01 13:00:00,2026-04-01 17:00:00,4
W001,tanning,2026-04-02 08:30:00,2026-04-02 14:30:00,6
W001,finishing,2026-04-03 09:00:00,2026-04-03 13:00:00,4

W002,drying,2026-04-01 08:00:00,2026-04-01 16:00:00,8
W002,finishing,2026-04-02 09:00:00,2026-04-02 15:00:00,6
W002,drying,2026-04-03 08:00:00,2026-04-03 12:00:00,4

W003,finishing,2026-04-01 10:00:00,2026-04-01 18:00:00,8
W003,tanning,2026-04-02 08:00:00,2026-04-02 11:00:00,3
W003,drying,2026-04-03 12:00:00,2026-04-03 17:00:00,5

W004,tanning,2026-04-01 08:00:00,2026-04-01 14:00:00,6
W004,drying,2026-04-02 08:00:00,2026-04-02 16:00:00,8
W004,finishing,2026-04-03 09:00:00,2026-04-03 12:00:00,3

W005,drying,2026-04-01 07:00:00,2026-04-01 11:00:00,4
W005,tanning,2026-04-02 12:00:00,2026-04-02 18:00:00,6

W006,finishing,2026-04-01 09:00:00,2026-04-01 17:00:00,8
W006,tanning,2026-04-02 08:00:00,2026-04-02 13:00:00,5
W006,drying,2026-04-03 10:00:00,2026-04-03 16:00:00,6
